Data;Grupos;Gênero;Qual a sua idade?;Qual a sua cidade natal? (Responder no formato: CIDADE - UF);Hora Início Av1;Hora Fim Av1;Nota Av1;Quantos semestres faltam para você se formar?;Selecione o seu Perfil de Conectividade neste semestre, dentre as opções a seguir:;Fale um pouco sobre suas expectativas com a disciplina.;Você já teve experiência de participação em projetos de Pesquisa e Desenvolvimento?;"Caso tenha respondido ""SIM"" na pergunta anterior, responda: Você desempenhou alguma tarefa envolvendo Visualização de Dados?";Marque as linguagens de programação que você já teve algum contato prático:
quinta, 1 Fev 2024, 21:34;T1_Grupo_B;M;23-24;Parelhas - RN;16:10;16:56;7,7;0 (este é o último);Totalmente Conectado;Espero aprender as boas práticas de visualização de dados e como transmitir meus resultados de forma eficiente.;Sim;Sim;"C
C++
Java
JavaScript
Python
R
TypeScript"
quinta, 1 Fev 2024, 10:57;T1_Grupo_B;M;23-24;Campina Grande-PB;16:10;16:58;7,0;0 (este é o último);Totalmente Conectado;Aprender novas formas de visualizar dados, com frameworks e ferramentas inovadoras para mercado;Sim;Não;"Java
JavaScript
Python"
domingo, 4 Fev 2024, 12:41;T1_Grupo_B;M;21-22;Campina Grande - PB;16:10;16:45;8,5;0 (este é o último);Totalmente Conectado;Aprimorar meus conhecimentos e habilidades em análise de dados.;Não;-;"Java
JavaScript
Python
TypeScript"
terça, 6 Fev 2024, 13:30;T1_Grupo_D;M;23-24;Campina Grande-PB;16:10;16:41;7,5;4;Totalmente Conectado;Espero aprender a criar formas de visualizar dados que sejam convincentes e de fácil leitura;Sim;Sim;"Java
Python"
quinta, 1 Fev 2024, 09:47;T1_Grupo_C;F;19-20;Maceió - AL;16:10;16:50;6,3;5;Não Conectado;Totalmente Conectado, tenho a espectativa de produzir graficos melhores e entender melhor como a melhor maneira de representar cada tipo de dado;Sim;Sim;"Java
JavaScript
Python"
terça, 6 Fev 2024, 18:22;T1_Grupo_D;M;21-22;JP - PB;16:10;16:33;5,9;0 (este é o último);Totalmente Conectado;Aprender mais sobre visualizacão de dados e seus impactos no dia a dia das pessoas.;Não;Não;"C++
JavaScript
Python
TypeScript"
quinta, 1 Fev 2024, 09:59;T1_Grupo_C;F;25-26;Campina Grande - PB;16:10;16:35;6,9;0 (este é o último);Totalmente Conectado;A área de visualização de dados me encanta muito e eu estou bem empolgada com essa disciplina.;Sim;Sim;"Java
JavaScript
Python
R"
quinta, 1 Fev 2024, 14:06;T1_Grupo_C;F;21-22;Campina Grande -pb;16:10;16:57;7,5;3;Totalmente Conectado;é uma disciplina na qual o objeto de estudo eu tenho muito interesse!;Sim;Não;"Java
JavaScript
Python"
sexta, 2 Fev 2024, 21:54;T1_Grupo_A;M;31-40;Campina Grande - PB;16:10;16:49;8,0;1;Totalmente Conectado;Minhas expectativas na disciplina são, aprender técnicas que facilitem a visualização dos dados, que tragam um maior poder de convencimento através de análises e plotagens bem feitas. Além disso, espero poder colocar em prática esses conhecimentos;Não;Não;"Java
JavaScript
Python
R
TypeScript"
quinta, 1 Fev 2024, 22:03;T1_Grupo_A;M;21-22;Campina Grande - PB;FALTOU;FALTOU;;2;Totalmente Conectado;Espero na disciplina conseguir uma base teórica e prática para poder fazer melhor visualização de dados. Percebo que, da forma que faço atualmente, ainda é algo amador, muitas vezes na base da tentativa e erro.;Sim;Sim;"Java
JavaScript
Python
R"
